n_blocks,combo,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
1,1,309,0.6207701008577622,0.5351941747572816,0.7337390184402466,0.8003359436988831,0.8306218385696411
1,2,309,0.6348442360260156,0.558252427184466,0.7372931241989136,0.8409155011177063,0.886301577091217
1,3,309,0.6411419549439156,0.5,7.141871265048394e-06,3.4821659937733784e-06,8.420143785770051e-06
1,4,309,0.4554829625789424,0.5,0.9861620664596558,0.9891198873519897,0.9867779612541199
1,5,309,0.5508589405221981,0.48058252427184467,0.17941050231456757,0.1708746999502182,0.16296862065792084
1,6,284,0.6697909793571495,0.5,2.1546871721511707e-05,2.0532215785351582e-05,2.783648051263299e-05
2,1_2,618,0.6540260627768877,0.5898058252427184,0.6492335200309753,0.7817606329917908,0.8624957203865051
2,1_3,618,0.6912821660853992,0.5,0.1728358417749405,0.21702653169631958,0.2595822811126709
2,1_4,618,0.5642673673296258,0.5,0.9248871803283691,0.9488325119018555,0.9578147530555725
2,1_5,618,0.643710528796305,0.5,0.1283162385225296,0.15454110503196716,0.17531916499137878
2,1_6,593,0.6797648223206711,0.5,0.18823061883449554,0.24094565212726593,0.2786327600479126
2,2_3,618,0.6800122537468187,0.6152912621359223,0.35591021180152893,0.4087338447570801,0.4966250956058502
2,2_4,618,0.6010433358469224,0.5,0.9846358299255371,0.9947758913040161,0.9966028928756714
2,2_5,618,0.6386617494580074,0.5703883495145631,0.7270470857620239,0.8374994993209839,0.9011365175247192
2,2_6,593,0.6467150532566689,0.6298543689320388,0.4882234036922455,0.6522772312164307,0.7586755752563477
2,3_4,618,0.6322226411537374,0.5849514563106796,0.32004427909851074,0.436248779296875,0.4836128056049347
2,3_5,618,0.5656400226223018,0.4975728155339806,0.03353460133075714,0.02452976442873478,0.01906318962574005
2,3_6,593,0.6732726929965125,0.5,4.84685915580485e-06,3.015961965502356e-06,5.171842076379107e-06
2,4_5,618,0.4371465265340749,0.5,0.9839780330657959,0.9850812554359436,0.9841119050979614
2,4_6,593,0.6146726835705534,0.5970873786407767,0.3260621726512909,0.49719882011413574,0.5505850911140442
2,5_6,593,0.5887984258648317,0.5,0.0029196925461292267,0.0011691200779750943,0.000960146717261523
3,1_2_3,927,0.6851611839004618,0.6347087378640777,0.4580979645252228,0.5737159848213196,0.6462216377258301
3,1_2_4,927,0.626508153454614,0.5327669902912622,0.8681250810623169,0.9605517983436584,0.982905387878418
3,1_2_5,927,0.642125789424074,0.5703883495145631,0.6714829206466675,0.787971556186676,0.8436309099197388
3,1_2_6,902,0.6610955320953907,0.5837378640776699,0.6378925442695618,0.7804033756256104,0.8462093472480774
3,1_3_4,927,0.6670279950985013,0.6468446601941747,0.3813851475715637,0.49325886368751526,0.5532578229904175
3,1_3_5,927,0.6137948911301725,0.49393203883495146,0.14311620593070984,0.18095475435256958,0.19562928378582
3,1_3_6,902,0.6978155339805826,0.5,0.1272287517786026,0.16148360073566437,0.1978769749403
3,1_4_5,927,0.6170468470166839,0.5752427184466019,0.6034725904464722,0.6749759316444397,0.699138879776001
3,1_4_6,902,0.6195800735224809,0.6225728155339806,0.4544970393180847,0.5709552764892578,0.613007664680481
3,1_5_6,902,0.6647657649165803,0.5,0.08553866297006607,0.10648585110902786,0.12904101610183716
3,2_3_4,927,0.6721062305589595,0.529126213592233,0.8370043039321899,0.9336894750595093,0.9532756805419922
3,2_3_5,927,0.6262489395796023,0.5728155339805825,0.4183003604412079,0.4682009816169739,0.52879798412323
3,2_3_6,902,0.6616905457630314,0.5837378640776699,0.3232490122318268,0.3894714117050171,0.4586419463157654
3,2_4_5,927,0.6362787491752286,0.5,0.9410298466682434,0.9762682318687439,0.9887393116950989
3,2_4_6,902,0.640493920256386,0.6007281553398058,0.6301784515380859,0.8380889296531677,0.9159950613975525
3,2_5_6,902,0.6388355405787539,0.5934466019417476,0.6633737683296204,0.7976284623146057,0.8981676697731018
3,3_4_5,927,0.6236685832783485,0.47936893203883496,0.2662864625453949,0.3336777985095978,0.34754011034965515
3,3_4_6,902,0.6419372702422471,0.5,0.08500251173973083,0.13103966414928436,0.1441260427236557
3,3_5_6,902,0.5675605617871619,0.4975728155339806,0.028304262086749077,0.013040331192314625,0.012075991369783878
3,4_5_6,902,0.5738877368272222,0.5849514563106796,0.6106536984443665,0.6533910632133484,0.6714956164360046
4,1_2_3_4,1236,0.6688366009991517,0.5643203883495146,0.7010127902030945,0.8432155251502991,0.8949386477470398
4,1_2_3_5,1236,0.6481171646715053,0.6067961165048543,0.46462711691856384,0.5699136853218079,0.6244574189186096
4,1_2_3_6,1211,0.6906400226223018,0.6347087378640777,0.3718009889125824,0.4726101756095886,0.5507245063781738
4,1_2_4_5,1236,0.6218157931944575,0.508495145631068,0.9048008322715759,0.9664080142974854,0.9836544394493103
4,1_2_4_6,1211,0.6329295880855877,0.5679611650485437,0.7333327531814575,0.8843929171562195,0.9345592856407166
4,1_2_5_6,1211,0.6545798378735036,0.6019417475728155,0.52138751745224,0.6309557557106018,0.7052035927772522
4,1_3_4_5,1236,0.6559407107173155,0.558252427184466,0.333819180727005,0.42269328236579895,0.4669192433357239
4,1_3_4_6,1211,0.6821330945423697,0.537621359223301,0.2644743025302887,0.35590657591819763,0.4173332750797272
4,1_3_5_6,1211,0.6261664624375531,0.4963592233009709,0.11884117126464844,0.15063513815402985,0.16719569265842438
4,1_4_5_6,1211,0.6407236780092374,0.5339805825242718,0.32147669792175293,0.406110942363739,0.44806456565856934
4,2_3_4_5,1236,0.6479463191629748,0.5339805825242718,0.8102695345878601,0.8872397541999817,0.9227480292320251
4,2_3_4_6,1211,0.6672931001979452,0.5849514563106796,0.600911021232605,0.7460293173789978,0.8006215691566467
4,2_3_5_6,1211,0.6303374493354699,0.5910194174757282,0.47060149908065796,0.532461404800415,0.6061370372772217
4,2_4_5_6,1211,0.6480170138561598,0.5655339805825242,0.773888885974884,0.890006422996521,0.9564160108566284
4,3_4_5_6,1211,0.632953152983316,0.4878640776699029,0.12129900604486465,0.1470414698123932,0.154307559132576
5,1_2_3_4_5,1545,0.654679988688849,0.5655339805825242,0.6591521501541138,0.7877612709999084,0.83440101146698
5,1_2_3_4_6,1520,0.683806202281082,0.5910194174757282,0.622973620891571,0.7730344533920288,0.8417456150054932
5,1_2_3_5_6,1520,0.665089782260345,0.6298543689320388,0.4578849971294403,0.5610591769218445,0.6290640234947205
5,1_2_4_5_6,1520,0.6382670374210575,0.5546116504854369,0.8068215250968933,0.91534024477005,0.9529615044593811
5,1_3_4_5_6,1520,0.6619203035158827,0.5266990291262136,0.26913729310035706,0.3553107678890228,0.4002481997013092
5,2_3_4_5_6,1520,0.6508506928079932,0.5509708737864077,0.7492383122444153,0.8454163670539856,0.8953952789306641
6,1_2_3_4_5_6,1829,0.6581852672259403,0.5934466019417476,0.5957141518592834,0.7326391935348511,0.7878702282905579
