pid,N,n0,n1,balance,med_rms,rms_cv,x_cohort,cond_ratio,alpha_ratio,within_auc,auc_sd,flags
P01,300,150,150,1.00,0.00758,0.355,0.3,1.13,1.2,0.551,0.062,ok
P02,300,150,150,1.00,0.02759,0.395,1.3,1.38,1.5,0.708,0.062,ok
P03,300,150,150,1.00,0.01463,0.380,0.7,1.01,1.2,0.511,0.062,ok
P04,300,150,150,1.00,0.01848,0.372,0.9,1.04,1.4,0.530,0.067,ok
P05,300,150,150,1.00,0.01856,0.318,0.9,1.28,1.4,0.618,0.069,ok
P06,300,150,150,1.00,0.01137,0.615,0.5,1.09,1.0,0.504,0.059,ok
P07,300,150,150,1.00,0.01306,0.437,0.6,1.11,1.4,0.569,0.065,ok
P08,300,150,150,1.00,0.01815,0.701,0.8,1.31,2.1,0.636,0.047,ok
P09,300,150,150,1.00,0.00610,0.603,0.3,1.31,1.2,0.518,0.069,ok
P10,300,150,150,1.00,0.01916,0.242,0.9,1.05,1.1,0.483,0.068,BELOW-CHANCE
P11,300,150,150,1.00,0.02736,0.567,1.3,1.24,1.4,0.569,0.054,ok
P12,300,150,150,1.00,0.02763,0.471,1.3,1.21,1.8,0.627,0.058,ok
P13,300,150,150,1.00,0.01666,1.127,0.8,2.09,3.2,0.720,0.048,COND-AMP
P15,300,150,150,1.00,0.01280,1.071,0.6,1.01,1.2,0.530,0.073,ok
P16,225,75,150,0.50,0.02366,0.992,1.1,1.06,1.1,0.559,0.081,CLASS-IMBAL
P17,300,150,150,1.00,0.03636,0.380,1.7,1.25,1.1,0.569,0.073,ok
P18,300,150,150,1.00,0.03929,0.851,1.8,1.04,1.0,0.519,0.069,DRIFT
P19,300,150,150,1.00,0.01192,0.497,0.5,1.26,1.8,0.658,0.055,ok
P20,300,150,150,1.00,0.01246,2.120,0.6,1.56,1.3,0.445,0.087,BELOW-CHANCE
P21,300,150,150,1.00,0.14771,0.924,6.8,4.49,32.1,0.962,0.026,RMS-OUTLIER COND-AMP ALPHA-RATIO DRIFT
P22,300,150,150,1.00,0.02268,0.624,1.0,1.02,1.8,0.634,0.067,ok
P23,300,150,150,1.00,0.01082,0.319,0.5,1.03,1.0,0.555,0.064,ok
P24,300,150,150,1.00,0.01352,1.829,0.6,1.14,1.1,0.482,0.070,BELOW-CHANCE
P25,300,150,150,1.00,0.01700,0.339,0.8,1.12,1.3,0.550,0.056,ok
P26,300,150,150,1.00,0.01427,0.348,0.7,1.21,1.6,0.612,0.066,ok
P27,300,150,150,1.00,0.01450,1.735,0.7,2.84,3.6,0.716,0.053,COND-AMP DRIFT
P28,300,150,150,1.00,0.02826,0.345,1.3,1.12,1.4,0.606,0.053,ok
P29,300,150,150,1.00,0.02630,0.546,1.2,1.35,1.7,0.580,0.054,ok
P30,300,150,150,1.00,0.05752,0.566,2.6,1.35,1.6,0.658,0.055,ok
P31,300,150,150,1.00,0.02361,1.060,1.1,2.81,2.0,0.672,0.062,COND-AMP
P32,300,150,150,1.00,0.04264,1.207,2.0,1.48,1.6,0.616,0.063,ok
P33,300,150,150,1.00,0.03714,0.711,1.7,1.01,1.4,0.573,0.059,ok
P34,300,150,150,1.00,0.62055,0.661,28.6,1.03,1.3,0.466,0.059,RMS-OUTLIER BELOW-CHANCE
P35,300,150,150,1.00,0.02318,0.420,1.1,1.07,1.1,0.492,0.051,BELOW-CHANCE
P36,300,150,150,1.00,0.02084,0.280,1.0,1.13,1.3,0.600,0.067,ok
P37,300,150,150,1.00,0.17839,1.087,8.2,12.64,83.9,0.639,0.068,RMS-OUTLIER COND-AMP ALPHA-RATIO DRIFT
P38,300,150,150,1.00,0.02102,2.097,1.0,1.08,1.2,0.545,0.074,ok
P39,300,150,150,1.00,0.02426,1.602,1.1,1.60,1.4,0.576,0.069,ok
P40,300,150,150,1.00,0.01610,0.794,0.7,1.16,1.3,0.568,0.063,ok
P41,300,150,150,1.00,0.02171,0.749,1.0,1.14,1.2,0.506,0.075,ok
P42,300,150,150,1.00,0.02918,0.494,1.3,1.48,1.8,0.611,0.062,ok
P43,300,150,150,1.00,0.02992,0.864,1.4,3.58,3.2,0.850,0.045,COND-AMP DRIFT
P44,300,150,150,1.00,0.01546,0.560,0.7,1.23,1.5,0.548,0.080,ok
P45,300,150,150,1.00,0.01735,1.528,0.8,2.82,5.9,0.912,0.039,COND-AMP ALPHA-RATIO DRIFT
P46,300,150,150,1.00,0.02451,0.391,1.1,1.06,1.3,0.552,0.066,ok
P47,300,150,150,1.00,0.02847,0.424,1.3,1.07,1.1,0.464,0.060,BELOW-CHANCE
P48,300,150,150,1.00,0.03703,0.665,1.7,1.19,1.5,0.586,0.056,ok
